socialMedia,time,count
byu.id,2022-02-15,74
byu.id,2022-02-14,66
byu.id,2022-02-11,268
byu.id,2022-02-12,199
byu.id,2022-02-13,48
byu.id,2022-02-10,84
byu.id,2022-02-09,55
byu.id,2022-02-07,107
byu.id,2022-02-08,53
byu.id,2022-02-04,60
byu.id,2022-02-06,34
byu.id,2022-02-05,34
byu.id,2022-02-03,24
myxl,2022-02-14,38
myxl,2022-02-15,33
myxl,2022-02-13,94
myxl,2022-02-12,60
myxl,2022-02-11,66
myxl,2022-02-10,50
myxl,2022-02-09,71
myxl,2022-02-08,83
myxl,2022-02-07,55
myxl,2022-02-06,55
myxl,2022-02-05,31
myxl,2022-02-04,20
telkomsel,2022-02-15,97
telkomsel,2022-02-14,187
telkomsel,2022-02-13,232
telkomsel,2022-02-12,290
telkomsel,2022-02-11,389
telkomsel,2022-02-10,232
telkomsel,2022-02-09,283
telkomsel,2022-02-08,285
telkomsel,2022-02-07,247
telkomsel,2022-02-06,81
twitter_status,2021-01-01,11
twitter_status,2021-01-10,5
twitter_status,2021-01-16,1
twitter_status,2021-01-18,7
twitter_status,2021-01-19,24
twitter_status,2021-02-05,185
twitter_status,2021-01-29,3
twitter_status,2021-01-31,7
twitter_status,2021-01-28,4
twitter_status,2021-02-06,17
twitter_status,2021-02-12,3
twitter_status,2021-02-08,7
twitter_status,2021-03-04,13
twitter_status,2021-03-01,43
twitter_status,2021-03-02,21
twitter_status,2021-03-03,67
twitter_status,2021-03-12,27
twitter_status,2021-03-06,20
twitter_status,2021-03-11,12
twitter_status,2021-03-07,35
twitter_status,2021-03-05,13
twitter_status,2021-03-09,62
twitter_status,2021-03-08,28
twitter_status,2021-03-22,29
twitter_status,2021-03-20,39
twitter_status,2021-03-18,35
twitter_status,2021-03-19,40
twitter_status,2021-03-15,30
twitter_status,2021-03-17,81
twitter_status,2021-03-16,35
twitter_status,2021-03-26,27
twitter_status,2021-03-31,6
twitter_status,2021-03-23,11
twitter_status,2021-03-28,41
twitter_status,2021-03-30,5
twitter_status,2021-03-24,11
twitter_status,2021-03-25,13
twitter_status,2021-03-27,17
twitter_status,2021-03-29,4
twitter_status,2021-04-06,9
twitter_status,2021-04-01,7
twitter_status,2021-04-02,10
twitter_status,2021-04-08,8
twitter_status,2021-04-09,17
twitter_status,2021-04-03,27
twitter_status,2021-04-05,28
twitter_status,2021-04-07,12
twitter_status,2021-04-14,78
twitter_status,2021-04-16,94
twitter_status,2021-04-15,116
twitter_status,2021-04-18,77
twitter_status,2021-04-17,39
twitter_status,2021-04-13,24
twitter_status,2021-04-12,34
twitter_status,2021-04-10,7
twitter_status,2021-04-23,52
